temperature,humidity,number of people,result
-3,70,51.97,промозглая
-3,75,51.97,промозглая
-3,80,51.97,промозглая
-3,85,51.97,промозглая
-3,90,51.97,промозглая
-3,95,51.97,промозглая
-3,100,51.97,промозглая
-2,0,57.06,комфортно прохладная
-2,5,57.06,комфортно прохладная
-2,10,57.06,комфортно прохладная
-2,15,57.06,комфортно прохладная
-2,20,55.95,комфортно прохладная
-2,25,52.05,ощутимо прохладная
-2,30,52.94,ощутимо прохладная
-2,35,52.94,ощутимо прохладная
-2,40,52.94,ощутимо прохладная
-2,45,52.94,ощутимо прохладная
-2,50,52.94,ощутимо прохладная
-2,55,52.94,ощутимо прохладная
-2,60,52.94,ощутимо прохладная
-2,65,51.97,ощутимо прохладная
-2,70,52.46,промозглая
-2,75,52.94,промозглая
-2,80,52.94,промозглая
-2,85,52.94,промозглая
-2,90,52.94,промозглая
-2,95,52.94,промозглая
-2,100,52.94,промозглая
-1,0,59.17,комфортно прохладная
-1,5,59.17,комфортно прохладная
-1,10,59.17,комфортно прохладная
-1,15,59.17,комфортно прохладная
-1,20,55.95,комфортно прохладная
-1,25,52.05,ощутимо прохладная
-1,30,53.88,ощутимо прохладная
-1,35,53.88,ощутимо прохладная
-1,40,53.88,ощутимо прохладная
-1,45,53.88,ощутимо прохладная
-1,50,53.88,ощутимо прохладная
-1,55,53.88,ощутимо прохладная
-1,60,52.94,ощутимо прохладная
-1,65,51.97,ощутимо прохладная
-1,70,52.46,промозглая
-1,75,53.65,промозглая
-1,80,53.88,промозглая
-1,85,53.88,промозглая
-1,90,53.88,промозглая
-1,95,53.88,промозглая
-1,100,53.88,промозглая
0,0,61.11,комфортно прохладная
0,5,61.11,комфортно прохладная
0,10,61.11,комфортно прохладная
0,15,61.11,комфортно прохладная
0,20,55.95,комфортно прохладная
0,25,52.05,ощутимо прохладная
0,30,54.04,ощутимо прохладная
0,35,54.81,ощутимо прохладная
0,40,54.81,ощутимо прохладная
0,45,54.81,ощутимо прохладная
0,50,54.81,ощутимо прохладная
0,55,53.88,ощутимо прохладная
0,60,52.94,ощутимо прохладная
